id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
11822253,09015621411000053000061236S6, MARIE STOPES CONDESA,FUNDACION MARIE STOPES MEXICO AC,621411,Centros de planificación familiar del sector privado,11 a 30 personas,CALLE,Atlixco,AVENIDA,Veracruz,CALLE,Juan de la Barrera,CALLE,Parque España,12.0,,,,,,COLONIA,CONDESA,,,,6140.0,9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc                                                                                                    ,1182,2,5560512740.0,MAYRA.CRUZ@MARIESTOPES.ORG.MX,WWW.MARIESTOPES.ORG.MX,Fijo,19.41551828,-99.17286083,2025-04
6795800,09013621511000421000003549S7,113 LABORATORIO MEDICO DEL CHOPO SUCURSAL ARENAL,GRUPO DIAGNOSTICO MEDICO PROA SA DE CV,621511,Laboratorios médicos y de diagnóstico del sector privado,0 a 5 personas,CALLE,PASEO DE LA VIRGEN,CALLE,ARENAL,CALLE,16 DE SEPTIEMBRE,CALLE,NINGUNO,610.0,,,,,,COLONIA,TEPEPAN,CENTRO Y PLAZA COMERCIAL,PLAZA ARENAL,8,16020.0,9,Ciudad de México,13,Xochimilco,1,Xochimilco                                                                                                    ,0014,15,,INFORMES.WEB@CHOPO.COM.MX,WWW.CHOPO.COM.MX,Fijo,19.28034031,-99.13794991,2017-03
11366041,09017621211005831000000000U0,20 DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,CERAMICA,CALLE,PAILEROS,CALLE,HORTELANOS,CALLE,APICULTURA,33.0,A,,,,,COLONIA,20 DE NOVIEMBRE,,,,15300.0,9,Ciudad de México,17,Venustiano Carranza,1,Venustiano Carranza                                                                                           ,0282,25,,,,Fijo,19.44062595,-99.1077224,2024-11
916737,09012621331000571000000000U4,AA,,621331,Consultorios de psicología del sector privado,0 a 5 personas,CALLE,5 DE MAYO,CERRADA,BARRANCA DE SAN JUAN DE DIOS,CALLE,LAUREL,OTRO(ESPECIFIQUE),,225.0,,,,0.0,,PUEBLO,SAN PEDRO MARTIR,,,,14650.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,1142,34,,,,Fijo,19.26714972,-99.17407471,2014-12
8671138,09007621421000121000000000U7,AA EXPERANZA Y AMOR 4 Y 5 PASO,ROGELIO ISMAEL LOPEZ RODRIGUEZ AC,621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,0 a 5 personas,CALLE,VILLA OSO,CALLE,VILLA CARLOS,CALLE,VILLA CASTIN,CALLE,VILLA SAN PEDRO,25.0,LT12,,,0.0,,COLONIA,DESARROLLO URBANO QUETZALCOATL,,,,9700.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,3079,2,5539924488.0,,,Fijo,19.32881928,-99.04113228,2019-11
10918503,09014621331002092000000000U5,ABC PSICOLOGIA,,621331,Consultorios de psicología del sector privado,6 a 10 personas,EJE VIAL,3 PONIENTE AVENIDA COYOACAN,EJE VIAL,5 SUR (AVENIDA EUGENIA),CALLE,CONCEPCION BEISTEGUI,CALLE,CERRADA EUGENIA,620.0,A,,,,,COLONIA,DEL VALLE CENTRO,,,,3100.0,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez                                                                                                 ,0401,9,5548527213.0,,,Fijo,19.38877871,-99.16665935,2024-11
867555,09015621341000321000000000U6,ABILITA,,621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje",0 a 5 personas,AVENIDA,NUEVO LEON,CALLE,BAJIO,AVENIDA,INSURGENTES SUR,AVENIDA,INSURGENTES SUR,270.0,,P,PISO 7,702.0,,COLONIA,HIPODROMO,EDIFICIO COMERCIAL Y DE SERVICIOS,EDIFICIO 270,702,6100.0,9,Ciudad de México,15,Cuauhtémoc,1,Cuauhtémoc                                                                                                    ,1430,8,5546238329.0,ABILITA2009@GMAIL.COM,WWW.ABILITA.COM.MX,Fijo,19.40170312,-99.17057627,2010-07
980387,09003621211006371000000000U6,ABITAC DENTAL ODONTOLOGIA ESTETICA,,621211,Consultorios dentales del sector privado,0 a 5 personas,EJE VIAL,1 ORIENTE AVENIDA CANAL DE MIRAMONTES,PRIVADA,RETORNO 807,ANDADOR,EL CENTINELA,CALLE,RETORNO 806,,SN,,,0.0,F,COLONIA,EL CENTINELA,,,,4450.0,9,Ciudad de México,3,Coyoacán,1,Coyoacán                                                                                                      ,0484,32,,FACTURABITAC@YAHOO.COM,WWW.ITAC-DENTAL.COM.MX,Fijo,19.33607659,-99.13719692,2014-12
9568653,09014621331002304000000000U4,ABRIENDO CAMINO UN CENTRO PARA EL CAMINO PERSONAL Y FAMILIAR,ABRIENDO CAMINO UN CENTRO PARA EL CAMINO PERSONAL Y FAMILIAR  AC,621331,Consultorios de psicología del sector privado,11 a 30 personas,CALLE,CAROLINA,CALLE,BOSTON,CALLE,PORFIRIO DIAZ,CALLE,ATLANTA,163.0,,D,PLANTA BAJA,2.0,A,COLONIA,NOCHE BUENA,,,,3720.0,9,Ciudad de México,14,Benito Juárez,1,Benito Juárez                                                                                                 ,0577,3,,ABRIENDOCAMINO@HOTMAIL.COM,WWW.ABRIENDOCAMINO.ORG.MX,Fijo,19.38001159,-99.17802326,2024-11
9492227,09007621311001141000000000U7,ABSY MASAJES Y HERBOLARIA,,621311,Consultorios de quiropráctica del sector privado,0 a 5 personas,CALLE,VILLA FRATI,CALLE,VILLA BARTOLOME,CALLE,VILLA FRATI,CALLE,VILLA DE MOR,0.0,SN,MERCADO LOMAS DE SANTA CRUZ,PLANTA BAJA,,,COLONIA,DESARROLLO URBANO QUETZALCOATL,MERCADO PUBLICO,MERCADO LOMAS DE SANTA CRUZ,16,9700.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,305A,2,,,,Fijo,19.33413711,-99.03715726,2024-11
