id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
9826983,15108621211000971000000000U8,123 SONRIE CONSULTORIO DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,HACIENDA FLOR DE CANELA,CALLE,AMADO NERVO,CIRCUITO,HACIENDA REAL DE TULTEPEC PONIENTE,CALLE,HACIENDA FLOR DE CANELA,0.0,SN,,,3.0,,COLONIA,HACIENDA REAL DE TULTEPEC,,,,54987.0,15,México,108,Tultepec,14,Santiago Teyahualco                                                                                           ,0477,9,5572036962.0,CONSULTORIO123SONRIE@GMAIL.COM,UNO.DOSTRESSONRIE,Fijo,19.65533309,-99.11794812,2024-11
9185463,15104621341000332000000000U7,2 BODY,,621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje",0 a 5 personas,CALLE,CONVENTO DE ACTOPAN,CALLE,BEGONIAS,BOULEVARD,"BOULEVARD MANUEL AVILA CAMACHO, AUTOPISTA MEXICO-QUERETARO",CALLE,GIRASOLES,14.0,,,,0.0,,COLONIA,LAS MARGARITAS,,,,55050.0,15,México,104,Tlalnepantla de Baz,1,Tlalnepantla                                                                                                  ,0533,34,,ARED-28@YAHOO.COM.MX,,Fijo,19.5270685,-99.22497437,2019-11
9642015,15057621391000662000000000U2,2 BODY SATELITE,,621391,Consultorios de nutriólogos y dietistas del sector privado,6 a 10 personas,CALLE,MANUEL IZAGUIRRE,CALLE,NINGUNO,CIRCUITO,CENTRO COMERCIAL,CALLE,PANUNCIO PADILLA,23.0,,,,,,CIUDAD,CIUDAD SATELITE,,,,53100.0,15,México,57,Naucalpan de Juárez,1,Naucalpan de Juárez                                                                                           ,121A,23,,,,Fijo,19.51331703,-99.23212446,2024-11
8348814,15121621320000271000000000U5,20-20 OPTICA,,621320,Consultorios de optometría,0 a 5 personas,CALLE,PENSAMIENTO,CALLE,BETUNIA,CALLE,BUGAMBILIA,CALLE,ORQUIDEA,52.0,,,,0.0,,COLONIA,SANTA MARIA DE GUADALUPE LA QUEBRADA,,,,54764.0,15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli                                                                                            ,1763,5,,,,Fijo,19.5919979,-99.19338577,2019-11
2084294,15081621111000071000000000U8,24 HORAS CONSULTORIO SAN MARTIN,,621111,Consultorios de medicina general del sector privado,0 a 5 personas,CALLE,FRANCISCO VILLA,CALLE,GUANAJUATO,CALLE,ESTADO DE MORELOS,CALLE,VICENTE GUERRERO,0.0,SN,,,,,COLONIA,SAN MARTIN,,,,55748.0,15,México,81,Tecámac,25,San Martín Azcatepec                                                                                          ,026A,24,5559365925.0,,,Fijo,19.68385489,-98.97006951,2010-07
10393709,15106621421000091000000000U4,3RA TRADICION,,621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,0 a 5 personas,BOULEVARD,SOLIDARIDAD LAS TORRES BOULEVARD LAZARO CARDENAS,CALLE,TOTOCUITLAPILCO,CALLE,PASCUAL OROZCO,CALLE,PUEBLA,1101.0,,,,,,COLONIA,SANTA MARIA DE LAS ROSAS,,,,50140.0,15,México,106,Toluca,1,Toluca de Lerdo                                                                                               ,213A,15,,,,Fijo,19.27132625,-99.63979028,2024-11
9847476,15108621421000061000000000U3,A A,GUILLERMO SANCHEZ PEREZ AC,621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,0 a 5 personas,CALLE,MARIANO ESCOBEDO,CALLE,CERRADA DE MOCTEZUMA,CERRADA,MARIANO ESCOBEDO,CALLE,CAUDILLOS DEL SUR,0.0,SN,,,,,BARRIO,SANTA ISABEL,,,,54960.0,15,México,108,Tultepec,1,Tultepec                                                                                                      ,0068,1,,,,Fijo,19.68724555,-99.13269835,2024-11
6936321,15104621211006211000000000U2,A DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,GALEANA,CALLE,MARIANO MATAMOROS,CALLE,INSURGENTES,CALLE,ALLENDE,12.0,,,,0.0,,COLONIA,SAN JUAN IXHUATEPEC,,,,54180.0,15,México,104,Tlalnepantla de Baz,1,Tlalnepantla                                                                                                  ,2173,13,,,,Fijo,19.5152266,-99.10433916,2019-11
7075348,15013621341000251000000000U2,A FISIOTERAPIA,,621341,"Consultorios del sector privado de audiología y de terapia ocupacional, física y del lenguaje",0 a 5 personas,CALLE,OCEANO PACIFICO,CALLE,OCEANO ARTICO,CALLE,BRILLANTE,CALLE,MAR ARABIGO,34.0,,,,0.0,,COLONIA,LOMAS LINDAS,,,,52947.0,15,México,13,Atizapán de Zaragoza,1,Ciudad López Mateos                                                                                           ,0999,3,,,,Fijo,19.57290415,-99.25261135,2019-11
11325283,15024621511000371000000000U3,A M LABORATORIOS DE ANALISIS CLINICOS,AM LABORATORIOS SA DE CV,621511,Laboratorios médicos y de diagnóstico del sector privado,0 a 5 personas,AVENIDA,CALLE A TULTEPEC,AVENIDA,NINGUNO,CALLE,NINGUNO,CALLE,PASEO DEL PLATINO,1.0,,OP DE ESP LAS AMERICAS S DE RL,CORREDOR,15.0,LM,COLONIA,JOYAS DE CUAUTITLAN,CENTRO Y PLAZA COMERCIAL,OP DE ESP LAS AMERICAS S DE RL,LM 15,54803.0,15,México,24,Cuautitlán,1,Cuautitlán                                                                                                    ,0418,15,,,,Fijo,19.6784542,-99.14825276,2024-11
2239667,15121621211002561000000000U8,A&M CONSULTORIO DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,AVENIDA,DE LOS ASTROS,AVENIDA,DE LOS SIGNOS,AVENIDA,DE LOS ASTROS,AVENIDA,HUEHUETOCA,7.0,,,,0.0,,FRACCIONAMIENTO,VALLE DE LA HACIENDA,,,,54715.0,15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli                                                                                            ,1477,40,5548995360.0,CDALMALILIANAPEREZ@GMAIL.COM,,Fijo,19.68663614,-99.20597763,2014-12
11794886,15054621211005171000000000U6,A&M DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,AVENIDA,Manuel J. Clouthier,CALLE,Manuel Doblado,CALLE,12 de Octubre,CALLE,Mariano Matamoros,905.0,E,,,,,COLONIA,SAN JERONIMO CHICAHUALCO,,,,52179.0,15,México,54,Metepec,37,San Jerónimo Chicahualco                                                                                      ,092A,21,7226935916.0,,,Fijo,19.28381851,-99.59452496,2025-04
2214256,15121621511000431001000000U9,A.M. LAB,,621511,Laboratorios médicos y de diagnóstico del sector privado,6 a 10 personas,AVENIDA,1O DE MAYO,CALLE,BELGICA,CALLE,BULGARIA,CALLE,ALEMANIA,54.0,B,,,0.0,,COLONIA,CENTRO URBANO,,,,54700.0,15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli                                                                                            ,0233,35,,,WWW.AMLABORATORIOS.COM,Fijo,19.6683363,-99.2113561,2014-12
10194915,15057621391000551000000000U7,A14 CLINIC AND SPA,,621391,Consultorios de nutriólogos y dietistas del sector privado,0 a 5 personas,CALLE,INFONAVIT,CALLE,ARTICULO 123,AVENIDA,DEL TRABAJO,AVENIDA,DEL TRABAJO,13.0,,,,,,COLONIA,AMPLIACION MARTIRES DE RIO BLANCO,,,,53780.0,15,México,57,Naucalpan de Juárez,1,Naucalpan de Juárez                                                                                           ,0955,41,5564799422.0,,,Fijo,19.44285773,-99.26014075,2024-11
9032393,15004621421000011000000000U9,AA FUENTE DE VIDA SALVADORA,ANGEL HERNANDEZ HERNANDEZ AC,621421,Centros del sector privado de atención médica externa para enfermos mentales y adictos,6 a 10 personas,AVENIDA,AVENIDA DE LA PAZ,CALLE,MATAMOROS,PRIVADA,NINGUNO,CALLE,CAMINO A SAN JUAN,,SN,,,,,PUEBLO,CUARTA MANZANA,,,,51860.0,15,México,4,Almoloya de Alquisiras,1,Almoloya de Alquisiras                                                                                        ,0044,29,,,,Fijo,18.86319502,-99.89458709,2019-11
2074710,15081621211000421000000000U3,ABC DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,ESTADO DE GUERRERO,CALLE,LAZARO CARDENAS,CALLE,EMILIANO ZAPATA,CALLE,ESTADO DE QUERETARO,,SN,,,,,COLONIA,SAN MARTIN AZCATEPEC,,,,55748.0,15,México,81,Tecámac,25,San Martín Azcatepec                                                                                          ,0240,39,5540886765.0,,,Fijo,19.68617581,-98.97502309,2010-07
8958859,15104621211007081000000000U8,ABC DENTAL,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,EXCELSIOR,CALLE,ULTIMAS NOTICIAS,CALLE,NOTICIAS DE MEXICO,CALLE,EXCELSIOR,619.0,,,,0.0,,BARRIO,PRENSA NACIONAL,,,,54170.0,15,México,104,Tlalnepantla de Baz,1,Tlalnepantla                                                                                                  ,2262,23,,,,Fijo,19.51049915,-99.16725655,2019-11
7702420,15057621211006691000000000U5,ABI DENT,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,FRANCISCO I MADERO,CALLE,EMILIANO ZAPATA,CALLE,RETORNO ATIZAPAN DE ZARAGOZA,CALLE,RETORNO EMILIANO ZAPATA,0.0,SN,,,,,COLONIA,UNIDAD SAN ESTEBAN,,,,53550.0,15,México,57,Naucalpan de Juárez,1,Naucalpan de Juárez                                                                                           ,0353,55,,,,Fijo,19.46171856,-99.22874101,2019-11
9163564,15058621211012261000000000U7,ABODENT,,621211,Consultorios dentales del sector privado,0 a 5 personas,CALLE,AVENIDA LAGO DE XOCHIMILCO,CALLE,ESCALERILLAS,CALLE,FLAMINGOS,CALLE,SANTA ANITA,168.0,,,,,,COLONIA,METROPOLITANA TERCERA SECCION,,,,57750.0,15,México,58,Nezahualcóyotl,1,Ciudad Nezahualcóyotl                                                                                         ,1274,22,5537306521.0,,,Fijo,19.39058294,-99.02030462,2019-11
7468441,15033621331001231000000000S2,ABRIENDO CAMINO ARAGON TERAPIAS,LETICIA SANCHEZ FABELA AC,621331,Consultorios de psicología del sector privado,6 a 10 personas,CALLE,VALLE PERDIDO,ANDADOR,3,CALLE,VALLE DEL DRAVE,CALLE,VALLE DEL PRUT,260.0,-2,,,0.0,,COLONIA,VALLE DE ARAGON TERCERA SECCION,,,,55280.0,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos                                                                                           ,2911,37,5548275284.0,,,Fijo,19.49896692,-99.0475469,2019-11
6438073,15118621511000101000000000U4,ACCESO SALUD,LABORATORIO GRUPO DIAGNOSTICO UNIVERSIDAD SA DE CV,621511,Laboratorios médicos y de diagnóstico del sector privado,6 a 10 personas,AVENIDA,16 DE SEPTIEMBRE,CALLE,INSURGENTES,CALLE,JAVIER MINA,AVENIDA,16 DE SEPTIEMBRE,0.0,SN,,,0.0,,BARRIO,SAN MIGUEL,,,,51350.0,15,México,118,Zinacantepec,1,San Miguel Zinacantepec                                                                                       ,0134,5,,,,Fijo,19.28803764,-99.73442193,2010-07
