id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
9468851,09007622111000313000000000U6,911 MED,911 MED SA DE CV,622111,Hospitales generales del sector privado,31 a 50 personas,CIRCUITO,INTERIOR AVENIDA RIO CHURUBUSCO,EJE VIAL,2 ORIENTE (CALZADA DE LA VIGA),CALLE,ARQUEOLOGOS,AVENIDA,EMILIO CARRANZA,824.0,,,,502.0,,COLONIA,EL RETOÑO,,,,9440.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,0515,17,,GVEGA@LIFE.COM,WWW.LIFE.COM,Fijo,19.36959742,-99.12306352,2023-11
11793222,09016622311000331000000000U5,ACERCATE FEM,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,AVENIDA,Observatorio,CALLE,Sur 138,CALLE,Sur 132,CALLE,Poniente 75-B,334.0,,,,330.0,,COLONIA,16 DE SEPTIEMBRE,,,,11820.0,9,Ciudad de México,16,Miguel Hidalgo,1,Miguel Hidalgo                                                                                                ,1090,10,,FEDRITAMTZMTZ@GMAIL.COM,,Fijo,19.4014396,-99.20401319,2025-04
10831947,09003622311000221000000000U6,AIDEM,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,4,CALLE,1,CALLE,3,CALLE,2,0.0,SN,,,,,COLONIA,ESPARTACO,,,,4870.0,9,Ciudad de México,3,Coyoacán,1,Coyoacán                                                                                                      ,086A,28,,,,Fijo,19.31922403,-99.13685975,2024-11
8564683,09010622111000131000000000U6,ANCIC,ASOCIACION NACIONAL CONTRA EL INFARTO CEREBRAL AC,622111,Hospitales generales del sector privado,0 a 5 personas,CALLE,RICARDO CASTRO,CALLE,ABUNDIO MARTINEZ,CALLE,MANUEL M PONCE,CALLE,VALVERDE,54.0,,,,,,COLONIA,GUADALUPE INN,,,,1020.0,9,Ciudad de México,10,Álvaro Obregón,1,Álvaro Obregón                                                                                                ,1059,7,,,,Fijo,19.355203,-99.18737531,2019-11
9427658,09007622311000352000058480S0,APEC ATLALILCO,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,EJE VIAL,8 SUR (CALZADA ERMITA IZTAPALAPA),AVENIDA,TLÁHUAC,CALLE,ANTIGUO CAMINO A LOS REYES,CALLE,PASTORES,941.0,,,,,LOCALES 4,COLONIA,SANTA ISABEL INDUSTRIAL,CENTRO Y PLAZA COMERCIAL,PLAZA ARISTEUM,4 Y 5,9820.0,9,Ciudad de México,7,Iztapalapa,1,Iztapalapa                                                                                                    ,1208,6,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.35565881,-99.10223104,2023-11
9457931,09002622311000042000058480S8,APEC AZCAPOTZALCO,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,AVENIDA,AZCAPOTZALCO,EJE VIAL,3 NORTE (MANUEL ACUÑA),CALLE,AZTECAS,CALLE,REFORMA,552.0,,,,,,COLONIA,CENTRO DE AZCAPOTZALCO,,,,2000.0,9,Ciudad de México,2,Azcapotzalco,1,Azcapotzalco                                                                                                  ,0468,21,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.4786468,-99.18700445,2023-11
9427659,09005622311000382000058480S1,APEC CLINICA QUIRURGICA LINDAVISTA,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,11 a 30 personas,AVENIDA,INSTITUTO POLITÉCNICO NACIONAL,EJE VIAL,5 NORTE (MONTEVIDEO),AVENIDA,OTAVALO,CALLE,PAYTA,363.0,,,,101.0,,COLONIA,LINDAVISTA,CENTRO Y PLAZA COMERCIAL,PLAZA LINDAVISTA,101,7300.0,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero                                                                                             ,0949,22,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.49097996,-99.13363832,2023-11
9406148,09005622311000392000058480S0,APEC LA VILLA,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,EJE VIAL,1 ORIENTE (AVENIDA FERROCARRIL HIDALGO),CALLE,HENRY FORD,AVENIDA,VICTORIA ORIENTE,EJE VIAL,2 ORIENTE (HONORABLE CONGRESO DE LA UNIÓN),0.0,SN,,,,,COLONIA,TRES ESTRELLAS,CENTRO Y PLAZA COMERCIAL,CHEDRAUI TEPEYAC,SN,7820.0,9,Ciudad de México,5,Gustavo A. Madero,1,Gustavo A. Madero                                                                                             ,1805,5,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.46915991,-99.11546807,2023-11
9397290,09012622311000212000058480S6,APEC MIRAMONTES,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,EJE VIAL,2 ORIENTE (AVENIDA CANAL DE MIRAMONTES),CALLE,CARRARA,CALLE,CANNES,CALLE,SAN REMO,3243.0,,,,,,COLONIA,FRACCIONAMIENTO RESIDENCIAL ACOXPA,,,,14300.0,9,Ciudad de México,12,Tlalpan,1,Tlalpan                                                                                                       ,0248,9,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.29785184,-99.12527933,2023-11
905470,09003622311000146001058480M5,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO HOSPITAL DR LUIS SANCHEZ BU,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,251 y más personas,CALLE,VICENTE GARCÍA TORRES,CALLE,PRIVADA GARCÍA TORRES,CALLE,MANUEL GUTIÉRREZ ZAMORA,CALLE,PILATENCO,46.0,,,,0.0,SN,COLONIA,BARRIO SAN LUCAS,,,,4030.0,9,Ciudad de México,3,Coyoacán,1,Coyoacán                                                                                                      ,015A,7,,MONICA.MONSALVO@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.34676199,-99.15638867,2014-12
