id,clee,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
2440396,15054622111000073000000000U0,ADMINISTRACION DE LA TORREMEDICA METEPEC,SERVICIOS MEDICOS QUIRURGICOS DE METEPEC SA DE CV,622111,Hospitales generales del sector privado,11 a 30 personas,CALLE,JOSEFA ORTIZ DE DOMINGUEZ,AVENIDA,BENITO JUAREZ,PRIVADA,NINGUNO,CALLE,MARIANO MATAMOROS,529.0,,MULTIMEDICA METEPEC,PISO 2,,,BARRIO,COAXUSTENCO,"HOSPITAL, CENTRO MEDICO O CLINICA",MULTIMEDICA METEPEC,SN,52140.0,15,México,54,Metepec,1,Metepec                                                                                                       ,0722,8,,MULTIMEDICAMETEPEC@YAHOO.COM,,Fijo,19.258971,-99.61570715,2014-12
7075520,15013622111000083000000000U5,ALFA MEDIC CLINICA DE ESPECIALIDADES,,622111,Hospitales generales del sector privado,6 a 10 personas,CALLE,ZAFIRO,CALLE,ESMERALDA,CALLE,AVENIDA BRILLANTE,PRIVADA,ESMERALDA,2.0,,,,0.0,,COLONIA,LOMAS LINDAS,,,,52497.0,15,México,13,Atizapán de Zaragoza,1,Ciudad López Mateos                                                                                           ,0999,12,,,,Fijo,19.57225494,-99.25547746,2019-11
8747774,15106622111000341000000000U9,ALFA MEDICA,,622111,Hospitales generales del sector privado,0 a 5 personas,BOULEVARD,MIGUEL ALEMAN VALDES AEROPUERTO,CALLE,NIÑOS HEROES,CALLE,CANALEJA,CALLE,CANALEJA,20.0,,,,28.0,L29,LOCALIDAD,SAN MIGUEL TOTOLTEPEC,,,,50225.0,15,México,106,Toluca,112,San Miguel Totoltepec                                                                                         ,2483,94,7223578015.0,UVA_ALFAMEDICA@HOTMAIL.COM,,Fijo,19.34078976,-99.58179728,2019-11
9427660,15058622311000402000058480S8,APEC ARAGON,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,AVENIDA CENTRAL CARLOS HANK GONZÁLEZ,CALLE,BOULEVARD BOSQUES DE LOS CONTINENTES,CALLE,AVENIDA BOSQUES DE ASIA,CALLE,BOSQUE DE ARABIA,323.0,,,,,,COLONIA,FRACCIONAMIENTO BOSQUES DE ARAGON,CENTRO Y PLAZA COMERCIAL,MULTIPLAZA SAN JUAN,SN,57170.0,15,México,58,Nezahualcóyotl,1,Ciudad Nezahualcóyotl                                                                                         ,0219,20,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.46881335,-99.05595518,2023-11
9466413,15121622311000212000058480S7,APEC CUAUTITLAN IZCALLI,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,AVENIDA,JORGE JIMÉNEZ CANTÚ,CALLE,TEOTIHUACÁN,AVENIDA,DE LOS REYES,AVENIDA,1O DE MAYO,24.0,MZ 24,,,,SA2,COLONIA,CENTRO URBANO,CENTRO Y PLAZA COMERCIAL,CENTRO COMERCIAL SORIANA MEGA IZCALLI,SA2,54730.0,15,México,121,Cuautitlán Izcalli,1,Cuautitlán Izcalli                                                                                            ,1443,38,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.64714645,-99.20471728,2023-11
9401731,15033622311000352000058480S8,APEC LAS AMERICAS,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,AVENIDA,CENTRAL,AVENIDA,INSURGENTES,CALLE,NINGUNO,AVENIDA,PASEO DE LAS AMERICAS,,MANZANA 4,PLAZA LAS AMERICAS,PLANTA BAJA,,,COLONIA,FRACCIONAMIENTO LAS AMERICAS,CENTRO Y PLAZA COMERCIAL,PLAZA LAS AMERICAS,SN,55076.0,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos                                                                                           ,4941,4,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.57988215,-99.02352671,2023-11
9451214,15020622311000122000058480S2,APEC LAS FLORES,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,CALLE,VÍA JOSÉ LÓPEZ PORTILLO,BOULEVARD,COACALCO,CALLE,NINGUNO,PRIVADA,SANTA ALICIA,105.0,,,,,,COLONIA,ZACAUTITLA,CENTRO Y PLAZA COMERCIAL,PLAZA LAS FLORES,SN,55700.0,15,México,20,Coacalco de Berriozábal,1,San Francisco Coacalco                                                                                        ,0160,1,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.63395884,-99.09660651,2023-11
9406147,15104622311000222000058480S2,APEC VALLE DORADO,ASOCIACION PARA EVITAR LA CEGUERA EN MEXICO,622311,Hospitales del sector privado de otras especialidades médicas,6 a 10 personas,BOULEVARD,MANUEL ÁVILA CAMACHO (AUTOPISTA MÉXICO-QUERÉTARO),CALLE,POPOCATÉPETL,BOULEVARD,DE LOS CONTINENTES,CALLE,ATENAS,3227.0,,,,,,COLONIA,FRACCIONAMIENTO VALLE DORADO,CENTRO Y PLAZA COMERCIAL,MULTIPLAZA VALLE DORADO,SN,54020.0,15,México,104,Tlalnepantla de Baz,1,Tlalnepantla                                                                                                  ,029A,19,,COMUNICACION@APEC.COM.MX,WWW.APEC.ORG.MX,Fijo,19.54989481,-99.20871635,2023-11
10141354,15033622311000381000000000U7,ATENCION MEDICA GINECOLOGICA Y PEDIATRICA,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,ATLAUTENCO,CALLE,GARBANZO,CERRADA,NINGUNO,CALLE,LA CALABAZA,,SN,,,,,COLONIA,SAN ISIDRO ATLAUTENCO,,,,55064.0,15,México,33,Ecatepec de Morelos,1,Ecatepec de Morelos                                                                                           ,3905,4,5559587357.0,,,Fijo,19.61038891,-98.99310354,2024-11
2403936,15060621113000092001000000U4,BEGUSA ESPECIALIDADES MEDICAS,BEGUSA ESPECIALIDADES MEDICAS AC,622311,Hospitales del sector privado de otras especialidades médicas,31 a 50 personas,AVENIDA,CARRETERA ATIZAPAN NICOLAS ROMERO,PRIVADA,NINGUNO,CALLE,MOCTEZUMA,CALLE,24 DE FEBRERO,81.0,,,,,,COLONIA,FRANCISCO SARABIA SEGUNDA SECCION,,,,54473.0,15,México,60,Nicolás Romero,1,Ciudad Nicolás Romero                                                                                         ,1060,35,,CLINICA_BG@HOTMAIL.COM,,Fijo,19.59647675,-99.2838701,2010-07
9774655,15082622311000061000000000U2,BERAKA CLINICA DE DISPLACIAS,,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,NINGUNO,CALLE,REVOLUCION,CALLE,REVOLUCION,CALLE,REVOLUCION,0.0,SN,,,,,COLONIA,DEL SOL,,,,51412.0,15,México,82,Tejupilco,1,Tejupilco de Hidalgo                                                                                          ,0430,62,,,,Fijo,18.89776224,-100.14453438,2024-11
10021008,15035622112000091000000000U9,CAFETERIA HOSPITAL SEDENA,,622112,Hospitales generales del sector público,0 a 5 personas,CALLE,NINGUNO,PRIVADA,NINGUNO,CALLE,NINGUNO,CALLE,NINGUNO,0.0,SN,,,,,ZONA MILITAR,SAN MIGUEL DE LOS JAGUEYES,,,,54697.0,15,México,35,Huehuetoca,28,Unidad San Miguel Jagüeyes                                                                                    ,0271,2,,,,Semifijo,19.8204836,-99.2838442,2024-11
2101100,15058622112000033000000000U3,CAPASITS NEZAHUALCOYOTL,EL GOBIERNO ,622112,Hospitales generales del sector público,11 a 30 personas,CALLE,NORTE 3,CALLE,PONIENTE 21,CALLE,PONIENTE 25,CALLE,ESCONDIDA,0.0,SN,,,,SN,COLONIA,LA PERLA,,,,57820.0,15,México,58,Nezahualcóyotl,1,Ciudad Nezahualcóyotl                                                                                         ,1062,20,5551131920.0,,,Fijo,19.38640284,-98.99057735,2010-07
10909061,15051622311000051000000000U8,CARDIOLOGIA,CARDIOLOGIA  AC,622311,Hospitales del sector privado de otras especialidades médicas,0 a 5 personas,CALLE,NINGUNO,CALLE,PASEO TOLLOCAN,BOULEVARD,MIGUEL ALEMAN (AEROPUERTO),AVENIDA,INDUSTRIA AUTOMOTRIZ,57.0,,N,PISO 1,,,COLONIA,EMILIANO ZAPATA,PARQUE INDUSTRIAL,PARQUE INDUSTRIAL LERMA TOLUCA,SN,52004.0,15,México,51,Lerma,1,Lerma de Villada                                                                                              ,0472,2,,,,Fijo,19.29262132,-99.55594018,2024-11
7067075,15031622112000163000000000U5,CDC DE SANTA CRUZ,,622112,Hospitales generales del sector público,6 a 10 personas,CALLE,EJIDO COLECTIVO,CALLE,APANTLI,CALLE,PLUTARCO GONZALEZ PLIEGO,CALLE,PLUTARCO GONZALEZ PLIEGO,0.0,SN,,,,,COLONIA,SANTA CRUZ,,,,56366.0,15,México,31,Chimalhuacán,1,Chimalhuacán                                                                                                  ,0959,24,,,,Fijo,19.43059667,-98.98338491,2019-11
2224721,15013622112000062000000000U7,CDC O UNIDAD PERIFERICO DEL JARALDIF ATIZAPAN DE ZARAGOZA,GOBIERNO DEL ESTADO DE MEXICO ,622112,Hospitales generales del sector público,0 a 5 personas,CALLE,PRIMAVERA,CALLE,AVENIDA TECOLOAPAN,CALLE,PRIMAVERA,CALLE,AZALEA,0.0,SN,,,0.0,,COLONIA,SAN JOSE DEL JARAL 1,,,,52924.0,15,México,13,Atizapán de Zaragoza,1,Ciudad López Mateos                                                                                           ,1427,19,,,,Fijo,19.59473737,-99.21825512,2014-12
7120419,15028622312000015000000000U9,CEAPS,CEAPS ,622312,Hospitales del sector público de otras especialidades médicas,31 a 50 personas,CALLE,ESCOLAR 2 DE MARZO,CARRETERA,CARRETERA DEL TRABAJO,CIRCUITO,ESCOLAR 2 DE MARZO,CALLE,IGNACIO ZARAGOZA,,SN,,,,,LOCALIDAD,CHIAUTLA,,,,56030.0,15,México,28,Chiautla,1,Chiautla                                                                                                      ,0116,15,,CEAPS_CHIAUTLA@OUTLOOK.COM,,Fijo,19.54563895,-98.88073423,2019-11
2270070,15081622112000063001000000U2,CEAPS CENTRO ESPECIALIZADO DE ATENCION PRIMARIA A LA SALUD,CENTRO ESPECIALIZADO DE ATENCION PRIMARIA A LA SALUD ,622112,Hospitales generales del sector público,51 a 100 personas,CALLE,BOSQUES DE ALAMOS,CALLE,BOSQUE DE CEDROS,CALLE,BOSQUE DE LOS CEDROS,CALLE,BOSQUE DE LOS CIPRESES,0.0,SN,,,,,COLONIA,HEROES TECAMAC II,,,,55764.0,15,México,81,Tecámac,19,Ojo de Agua                                                                                                   ,1126,19,,,WWW.CEAPSHEROETECAMAC.ORG,Fijo,19.62660266,-99.04262361,2014-12
2084731,15016622112000024000000000U0,CEAPS CENTRO ESPECIALIZADO EN ATENCION PRIMARIA A LA SALUD,SECRETARIA DE SALUD ,622112,Hospitales generales del sector público,6 a 10 personas,CALLE,GREGORIO AGUILAR,CALLE,NINGUNO,CALLE,BENITO JUAREZ,CALLE,GREGORIO AGUILAR,,SN,,,,,PUEBLO,AXAPUSCO,,,,55940.0,15,México,16,Axapusco,1,Axapusco                                                                                                      ,0219,31,,,,Fijo,19.73017152,-98.75741625,2010-07
1965877,15022622112000015001000000U6,CEAPS COCOTITLAN,GOBIERNO ,622112,Hospitales generales del sector público,31 a 50 personas,CALLE,BUENAVISTA,CALLE,AGUILA,CALLE,BRAVO,CALLE,20 DE NOVIEMBRE,,SN,,,,SN,BARRIO,TECHICHILCO,,,,56680.0,15,México,22,Cocotitlán,1,Cocotitlán                                                                                                    ,0057,19,,,,Fijo,19.23426462,-98.86553253,2010-07
